checkpoint,trial_type,trial_id,selected_freqs,train_pre_loss,train_pre_acc,train_post_loss,train_post_acc,test_pre_loss,test_pre_acc,test_post_loss,test_post_acc,delta_train_loss,delta_train_acc,delta_test_loss,delta_test_acc
pre,random_k,53.0,"(20, 33, 51)",4.748631000518799,0.009921670891344547,4.7486348152160645,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747027397155762,0.008390200324356556,3.814697265625e-06,0.0,-3.62396240234375e-05,0.0
pre,random_k,54.0,"(54, 42, 21)",4.748631000518799,0.009921670891344547,4.748493671417236,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747093677520752,0.008390200324356556,-0.0001373291015625,0.0,3.0040740966796875e-05,0.0
pre,random_k,55.0,"(50, 54, 41)",4.748631000518799,0.009921670891344547,4.748690605163574,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747021198272705,0.008390200324356556,5.9604644775390625e-05,0.0,-4.2438507080078125e-05,0.0
pre,random_k,56.0,"(36, 27, 52)",4.748631000518799,0.009921670891344547,4.748733043670654,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7469964027404785,0.008390200324356556,0.00010204315185546875,0.0,-6.723403930664062e-05,0.0
pre,random_k,57.0,"(26, 9, 46)",4.748631000518799,0.009921670891344547,4.7485432624816895,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747057914733887,0.008390200324356556,-8.7738037109375e-05,0.0,-5.7220458984375e-06,0.0
pre,random_k,58.0,"(54, 29, 47)",4.748631000518799,0.009921670891344547,4.7487382888793945,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747002124786377,0.008390200324356556,0.00010728836059570312,0.0,-6.151199340820312e-05,0.0
pre,random_k,59.0,"(12, 30, 22)",4.748631000518799,0.009921670891344547,4.748621940612793,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747044086456299,0.008390200324356556,-9.059906005859375e-06,0.0,-1.9550323486328125e-05,0.0
pre,random_k,60.0,"(17, 44, 37)",4.748631000518799,0.009921670891344547,4.7486090660095215,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747038841247559,0.008390200324356556,-2.193450927734375e-05,0.0,-2.47955322265625e-05,0.0
pre,random_k,61.0,"(38, 27, 18)",4.748631000518799,0.009921670891344547,4.748841762542725,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746945381164551,0.008390200324356556,0.00021076202392578125,0.0,-0.000118255615234375,0.0
pre,random_k,62.0,"(56, 25, 47)",4.748631000518799,0.009921670891344547,4.748673915863037,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747037410736084,0.008390200324356556,4.291534423828125e-05,0.0,-2.6226043701171875e-05,0.0
pre,random_k,63.0,"(14, 8, 17)",4.748631000518799,0.009921670891344547,4.7487006187438965,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470221519470215,0.008390200324356556,6.961822509765625e-05,0.0,-4.1484832763671875e-05,0.0
pre,random_k,64.0,"(26, 2, 24)",4.748631000518799,0.009921670891344547,4.748569488525391,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470622062683105,0.008390200324356556,-6.151199340820312e-05,0.0,-1.430511474609375e-06,0.0
pre,random_k,65.0,"(21, 47, 22)",4.748631000518799,0.009921670891344547,4.748593330383301,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747049331665039,0.008390200324356556,-3.7670135498046875e-05,0.0,-1.430511474609375e-05,0.0
